"DateTimeUtc","UserPrincipalName","AppDisplayName","IPAddress","Location","Status","ConditionalAccessStatus","RiskLevelDuringSignIn"
"7/8/2026 3:38:19 PM","mic***@<redacted-domain>","Microsoft Graph Command Line Tools","<redacted-ip>",", ","Success","notApplied","none"
"7/8/2026 3:38:11 PM","mic***@<redacted-domain>","Microsoft Graph Command Line Tools","<redacted-ip>",", ","Failure (65001)","notApplied","none"
"7/8/2026 12:27:50 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/8/2026 12:27:37 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/8/2026 12:26:39 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 6:30:28 PM","mic***@<redacted-domain>","Microsoft 365 Admin portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 6:30:23 PM","mic***@<redacted-domain>","Microsoft Office 365 Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 6:28:41 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 6:27:23 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 6:26:36 PM","mic***@<redacted-domain>","Azure AD Identity Governance - Entitlement Management","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 6:25:58 PM","mic***@<redacted-domain>","My Profile","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 1:08:43 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/7/2026 1:08:32 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/6/2026 10:02:57 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/6/2026 1:12:30 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/6/2026 1:11:28 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/5/2026 2:19:58 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/5/2026 2:19:46 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Failure (50140)","notApplied","none"
"7/4/2026 2:10:38 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/4/2026 1:42:52 PM","mic***@<redacted-domain>","Azure AD Identity Governance - Entitlement Management","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/4/2026 1:42:25 PM","mic***@<redacted-domain>","My Profile","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/4/2026 1:27:34 PM","mic***@<redacted-domain>","Azure AD Identity Governance - Entitlement Management","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/4/2026 12:32:02 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/4/2026 12:31:20 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/3/2026 10:45:26 PM","mic***@<redacted-domain>","Azure Portal","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/3/2026 10:44:51 PM","mic***@<redacted-domain>","OfficeHome","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/3/2026 10:43:37 PM","mic***@<redacted-domain>","OfficeHome","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
"7/3/2026 10:43:28 PM","mic***@<redacted-domain>","OfficeHome","50.89.x.x","<redacted-city>, US","Success","notApplied","none"
